resource_type,resource_subtype,resource_description,request_mode,request_type,request_status,request_owner_type,request_session_id
DATABASE,,"                                                                                                                                                                                                                                                                ",S,LOCK,GRANT,SHARED_TRANSACTION_WORKSPACE,53
DATABASE,,"                                                                                                                                                                                                                                                                ",S,LOCK,GRANT,SHARED_TRANSACTION_WORKSPACE,52
DATABASE,,"                                                                                                                                                                                                                                                                ",S,LOCK,GRANT,SHARED_TRANSACTION_WORKSPACE,55
DATABASE,,"                                                                                                                                                                                                                                                                ",S,LOCK,GRANT,SHARED_TRANSACTION_WORKSPACE,54
KEY,,"(8194443284a0)                                                                                                                                                                                                                                                  ",X,LOCK,GRANT,TRANSACTION,53
PAGE,,"1:312                                                                                                                                                                                                                                                           ",IX,LOCK,GRANT,TRANSACTION,53
PAGE,,"1:320                                                                                                                                                                                                                                                           ",IX,LOCK,GRANT,TRANSACTION,53
KEY,,"(cdfd6c710f93)                                                                                                                                                                                                                                                  ",X,LOCK,GRANT,TRANSACTION,53
KEY,,"(f0db15ea97c8)                                                                                                                                                                                                                                                  ",X,LOCK,GRANT,TRANSACTION,53
OBJECT,,"                                                                                                                                                                                                                                                                ",IX,LOCK,GRANT,TRANSACTION,53
OBJECT,,"                                                                                                                                                                                                                                                                ",IX,LOCK,GRANT,TRANSACTION,53
