resource_type,resource_subtype,resource_description,request_mode,request_type,request_status,request_owner_type,request_session_id
DATABASE,,"                                                                                                                                                                                                                                                                ",S,LOCK,GRANT,SHARED_TRANSACTION_WORKSPACE,56
DATABASE,,"                                                                                                                                                                                                                                                                ",S,LOCK,GRANT,SHARED_TRANSACTION_WORKSPACE,53
DATABASE,,"                                                                                                                                                                                                                                                                ",S,LOCK,GRANT,SHARED_TRANSACTION_WORKSPACE,52
DATABASE,,"                                                                                                                                                                                                                                                                ",S,LOCK,GRANT,SHARED_TRANSACTION_WORKSPACE,55
DATABASE,,"                                                                                                                                                                                                                                                                ",S,LOCK,GRANT,SHARED_TRANSACTION_WORKSPACE,54
PAGE,,"1:312                                                                                                                                                                                                                                                           ",IX,LOCK,GRANT,TRANSACTION,53
PAGE,,"1:312                                                                                                                                                                                                                                                           ",IS,LOCK,GRANT,TRANSACTION,52
PAGE,,"1:328                                                                                                                                                                                                                                                           ",IU,LOCK,GRANT,TRANSACTION,53
KEY,,"(98ec012aa510)                                                                                                                                                                                                                                                  ",U,LOCK,GRANT,TRANSACTION,53
KEY,,"(98ec012aa510)                                                                                                                                                                                                                                                  ",S,LOCK,GRANT,TRANSACTION,52
KEY,,"(98ec012aa510)                                                                                                                                                                                                                                                  ",X,LOCK,CONVERT,TRANSACTION,53
KEY,,"(a0c936a3c965)                                                                                                                                                                                                                                                  ",S,LOCK,GRANT,TRANSACTION,52
KEY,,"(974834b0b15c)                                                                                                                                                                                                                                                  ",U,LOCK,GRANT,TRANSACTION,53
OBJECT,,"                                                                                                                                                                                                                                                                ",IX,LOCK,GRANT,TRANSACTION,53
OBJECT,,"                                                                                                                                                                                                                                                                ",IS,LOCK,GRANT,TRANSACTION,52
