resource_type,resource_subtype,resource_description,request_mode,request_type,request_status,request_owner_type,request_session_id
DATABASE,,"                                                                                                                                                                                                                                                                ",S,LOCK,GRANT,SHARED_TRANSACTION_WORKSPACE,56
DATABASE,,"                                                                                                                                                                                                                                                                ",S,LOCK,GRANT,SHARED_TRANSACTION_WORKSPACE,53
DATABASE,,"                                                                                                                                                                                                                                                                ",S,LOCK,GRANT,SHARED_TRANSACTION_WORKSPACE,52
DATABASE,,"                                                                                                                                                                                                                                                                ",S,LOCK,GRANT,SHARED_TRANSACTION_WORKSPACE,55
DATABASE,,"                                                                                                                                                                                                                                                                ",S,LOCK,GRANT,SHARED_TRANSACTION_WORKSPACE,54
PAGE,,"1:312                                                                                                                                                                                                                                                           ",IX,LOCK,GRANT,TRANSACTION,53
PAGE,,"1:312                                                                                                                                                                                                                                                           ",IS,LOCK,GRANT,TRANSACTION,52
KEY,,"(ffffffffffff)                                                                                                                                                                                                                                                  ",RangeS-S,LOCK,GRANT,TRANSACTION,52
KEY,,"(ffffffffffff)                                                                                                                                                                                                                                                  ",RangeI-N,LOCK,WAIT,TRANSACTION,53
KEY,,"(c9fb1da9313f)                                                                                                                                                                                                                                                  ",RangeS-S,LOCK,GRANT,TRANSACTION,52
KEY,,"(40fd182c0dd9)                                                                                                                                                                                                                                                  ",RangeS-S,LOCK,GRANT,TRANSACTION,52
OBJECT,,"                                                                                                                                                                                                                                                                ",IX,LOCK,GRANT,TRANSACTION,53
OBJECT,,"                                                                                                                                                                                                                                                                ",IS,LOCK,GRANT,TRANSACTION,52
